I / Me,ngo5
You (singular),nei5
He / Him / She / Her,keoi5
We / Us,ngo5 dei6
You (plural),nei5 dei6
They / Them,keoi5 dei6
Family,gaa1 ting4
Person / People,jan4
To be (is/are/am),hai6
To have,jau5
To go,heoi3
To come,lai4 / gwo3 loi4
To say / Speak,gong2
To do / Make,zou6
To look / See,tai2
To eat,sik6
To drink,jam2
To know (a fact),zi1
To know (a person) / Can (skill),sik1
To want (a thing),jiu3
To want (to do),soeng2
To feel / Think,gok3 / gok3 dak1
To give,bei2
To understand,ming4
To ask,man6
To listen,teng1
To walk,haang4
To sit,co5
Now,ji4 gaa1
Today,gam1 jat6
Tomorrow,ting1 jat6
Yesterday,kam4 jat6
Time,si4 gaan1
Year,nin4
Month,jyut6
Day,jat6
Wait (a moment),dang2
Later,ci4 di1
Often / Always,sing4 jat6
Sometimes,jau5 si4
Usually,tung1 soeng4
Good / Well / Very,hou2
Big / Large,daai6
Small / Little,sai3
More,do1
Less / Few,siu2
Hot,jit6
Cold,dung3
New,san1
Old (thing),gau6
Happy,hoi1 sam1
Expensive,gwai3
Cheap,peng4
Beautiful,leng3
Correct / Right,ngaam1
Fast,faai3
Slow,maan6
This,ni1 go3
That,go2 go3
Where, bin1 dou6
Here,ni1 dou6
There,go2 dou6
In / Inside,leoi5 min6 / jap6 bin1
Out / Outside,ceot1 min6 / ceot1 bin1
Up / Above,soeng6 min6
Down / Below,haa6 min6
Near,kan5
Far,jyun5
(Question particle),ma3 / aa3 / maa2
(Completed action particle),zo2
(Possessive particle),ge3
(Connecting particle),aa3 / laa1 / aa3
And / With,tung4
But,daan6 hai6
Or,ding6 hai6
One,jat1
Two,ji6 / loeng5
Three,saam1
Four,sei3
Five,ng5
Six,luk6
(General classifier / thing),go3
(Classifier for flat objects),zoeng1
(Classifier for long objects),tiu4
(Classifier for clothing),gin6
(Classifier for vehicles),gaa3
(Classifier for books),bun2
Money,cin2
Shop / Store,pou3 tau2
Work / Job,gung1
Name,meng2 / sing3
Thing / Item,je5
How much,gei2 do1
Can / Able to (future/tendency),wui5
Thank you (service) / Please,m4 goi1
Thank you (gift),do1 ze6
Sorry / Excuse me,deoi3 m4 zyu6
Hello,nei5 hou2
Goodbye,zoi3 gin3
Afternoon,haa6 zau3
Alone,ngo5 zi6 gei2 jat1 go3 jan4
Already,ji5 ging1
Animal,dung6 mat6
Awful food,naan4 sik6
Bar,zau2 baa1
Bathroom (polite),sai2 sau2 gaan1
Big,daai6
Buffet Restaurant,zi6 zo6 caan1 teng1
Café,gaa3 fe1 teng1
Cash,jin6 gam1
Cat,maau1
Chicken speaks with duck (lit: Chicken talks to duck),gai1 tung4 aap3 gong2
Clean,gon1 zeng6
Co-workers,tung4 si6
Convenience store,bin6 lei6 dim3
Cooked food stalls,daai6 paai4 dong3
Credit Card,seon3 jung6 kaa1
Customer,gu3 haak3
Delicious,hou2 sik6
Department store,baak3 fo3 gung1 si1
Dine in,tong4 sik6
Dirty / filthy,wu1 zou1 / laat6 taat3
Dog,gau2
Downstairs,lau4 haa6
Dress / skirt,kwan4
Drink,jam2 ban2
Early morning,ziu1 tau4 zou2
Enter,jap6
Evening,je6 maan5
Every day of the week,sing4 go3 sing1 kei4
Extra small,gaa1 sai3 maa5
Fast food shop,faai3 caan1 dim3
Fine Dining,gou1 kap1 caan1 teng1
Fitting room,si3 san1 sat1
Food,sik6 mat6
Food Truck,caan1 ce1
Formal way to say please or May I,cing2
Free (not busy),dak1 haan4
Friends,pang4 jau5
Goose,ngo4
Grocery shopping (lit: buy vegetables) / Buy,maai5 coi3 / maai5
Grocery store,si5 coeng4 / zaap6 fo3 pou3
Have something to do,jau5 je5 zou6
Hong Kong style restaurant,caa4 caan1 teng1
House,uk1 kei2
How to do a verb,dim2 + verb
I want to buy a red shirt,ngo5 soeng2 maai5 jat1 gin6 hung4 sik1 ge3 saam1
Infer usual behavior (Particle),gaa3
I’ll go to bars sometimes (the will in I’ll) - talking about usual habits,wui5
Juice,gwo2 zap1
Large clothes size,daai6 maa5
Last Name,sing3
Light (lamp/bulb),dang1
Lively,jit6 naau6
Long,coeng4
Mall,soeng1 coeng4
May I ask,cing2 man6
Medium (clothes size),zung1 maa5
Menu,coi3 daan1
Milk,ngau4 naai5
Morning,soeng6 zau3
Myself,ngo5 zi6 gei2
Narrow,zaak3
Nearby,fu6 gan6
Neighboring; next to,gaak3 lei4
Never,cung4 loi4 m4
Noon,zung1 ng5
Opposite side,deoi3 min6
Order food,dim2 caan1
Pack up food,daa2 baau1
Pair of,deoi3
Pants / shorts,fu3
